created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-11 23:48:54 UTC,194,0.0,0.0,0.0,0.0,23.05,67.33,-494.0,24.15
2018-04-11 23:58:53 UTC,195,0.0,0.0,0.0,-0.02,23.03,66.8,-494.0,24.15
2018-04-12 00:08:53 UTC,196,0.0,0.0,0.0,-0.0,22.4,67.89,-493.0,24.09
2018-04-12 00:18:53 UTC,197,0.0,0.0,0.0,0.01,22.48,68.11,-494.0,24.04
2018-04-12 00:28:52 UTC,198,0.0,0.0,0.0,0.08,22.53,67.85,-494.0,23.98
2018-04-12 00:38:52 UTC,199,0.0,0.0,0.0,-0.01,22.38,68.19,-495.0,23.93
2018-04-12 00:48:52 UTC,200,0.0,0.0,0.0,-0.02,22.13,68.43,-495.0,23.93
2018-04-12 00:58:51 UTC,201,0.0,0.0,0.0,-0.02,22.4,67.14,-494.0,23.88
2018-04-12 01:08:50 UTC,202,0.0,0.0,0.0,0.05,22.1,68.9,-495.0,23.82
2018-04-12 01:18:50 UTC,203,0.0,0.0,0.0,0.02,22.32,67.95,-495.0,23.77
2018-04-12 02:25:22 UTC,204,0.0,0.0,0.0,0.01,22.19,67.61,-495.0,23.55
2018-04-12 02:35:22 UTC,205,0.0,0.0,0.0,-0.0,21.89,67.55,-495.0,23.55
2018-04-12 02:45:21 UTC,206,0.0,0.0,0.0,-0.01,22.24,66.98,-498.0,23.5
2018-04-12 02:55:21 UTC,207,0.0,0.0,0.0,0.02,21.79,67.95,-498.0,23.5
2018-04-12 03:05:21 UTC,208,0.0,0.0,0.0,-0.02,21.88,68.27,-498.0,23.44
2018-04-12 03:15:20 UTC,209,0.0,0.0,0.0,-0.01,21.64,68.1,-497.0,23.39
2018-04-12 03:25:20 UTC,210,0.0,0.0,0.0,0.02,21.97,67.14,-497.0,23.39
2018-04-12 03:35:19 UTC,211,0.0,0.0,0.0,0.0,22.07,67.49,-498.0,23.34
2018-04-12 03:45:19 UTC,212,0.0,0.0,0.0,0.02,21.76,68.09,-500.0,23.34
2018-04-12 03:55:18 UTC,213,0.0,0.0,0.0,0.0,22.09,66.92,-497.0,23.28
2018-04-12 04:05:18 UTC,214,0.0,0.0,0.0,0.0,22.01,66.96,-499.0,23.23
2018-04-12 04:15:17 UTC,215,0.0,0.0,0.0,-0.01,21.89,67.64,-497.0,23.23
2018-04-12 04:25:17 UTC,216,0.0,0.0,0.0,-0.02,21.46,68.2,-500.0,23.17
2018-04-12 04:35:16 UTC,217,0.0,0.0,0.0,0.02,21.58,68.11,-500.0,23.17
2018-04-12 04:45:16 UTC,218,0.0,0.0,0.0,-0.02,21.63,67.76,-500.0,23.12
2018-04-12 04:55:15 UTC,219,0.0,0.0,0.0,0.01,21.44,68.19,-500.0,23.12
2018-04-12 05:05:15 UTC,220,0.0,0.0,0.0,-0.06,21.65,66.72,-499.0,23.07
2018-04-12 05:15:14 UTC,221,0.0,0.0,0.0,-0.0,21.31,66.8,-500.0,23.07
2018-04-12 05:25:13 UTC,222,0.0,0.0,0.0,-0.0,22.22,64.55,-501.0,23.01
2018-04-12 05:35:13 UTC,223,0.0,0.0,0.0,-0.02,21.44,69.12,-501.0,23.01
2018-04-12 05:45:12 UTC,224,0.0,0.0,0.0,-0.0,21.28,68.9,-501.0,22.96
2018-04-12 05:55:12 UTC,225,0.0,0.0,0.0,0.01,21.44,68.82,-501.0,22.96
2018-04-12 06:05:11 UTC,226,0.0,0.0,0.0,0.01,22.26,66.71,-500.0,22.96
2018-04-12 06:15:11 UTC,227,0.0,0.0,0.0,0.01,21.4,68.7,-501.0,22.9
2018-04-12 06:25:10 UTC,228,0.0,0.0,0.0,0.0,21.36,68.19,-502.0,22.9
2018-04-12 06:35:10 UTC,229,0.0,0.0,0.0,0.01,21.61,67.7,-500.0,22.9
2018-04-12 06:45:09 UTC,230,0.0,0.0,0.0,0.0,21.87,66.26,-502.0,22.85
2018-04-12 06:55:10 UTC,231,0.0,0.0,0.0,-0.0,21.9,66.08,-502.0,22.85
2018-04-12 07:05:08 UTC,232,0.0,0.0,0.0,-0.01,21.96,66.56,-502.0,22.8
2018-04-12 07:15:08 UTC,233,0.0,0.0,0.0,-0.01,21.73,66.55,-502.0,22.8
2018-04-12 07:25:07 UTC,234,0.0,0.0,0.0,-0.01,22.08,65.74,-503.0,22.8
2018-04-12 07:35:07 UTC,235,0.0,0.0,0.0,-0.01,21.67,67.68,-503.0,22.74
2018-04-12 07:45:06 UTC,236,0.0,0.0,0.0,-0.01,21.52,67.94,-502.0,22.74
